2023-11-02 23:27:53,602 INFO    MainThread:12872 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_setup.py:_flush():76] Configure stats pid to 12872
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_setup.py:_flush():76] Loading settings from /Users/minjunes/.config/wandb/settings
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_setup.py:_flush():76] Loading settings from /Users/minjunes/tinygrad/wandb/settings
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'examples/mlperf/model_train.py', 'program_abspath': '/Users/minjunes/tinygrad/examples/mlperf/model_train.py', 'program': '/Users/minjunes/tinygrad/examples/mlperf/model_train.py'}
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_init.py:_log_setup():528] Logging user logs to /Users/minjunes/tinygrad/wandb/offline-run-20231102_232753-er3oh66y/logs/debug.log
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/minjunes/tinygrad/wandb/offline-run-20231102_232753-er3oh66y/logs/debug-internal.log
2023-11-02 23:27:53,603 INFO    MainThread:12872 [wandb_init.py:init():568] calling init triggers
2023-11-02 23:27:53,604 INFO    MainThread:12872 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-11-02 23:27:53,604 INFO    MainThread:12872 [wandb_init.py:init():618] starting backend
2023-11-02 23:27:53,604 INFO    MainThread:12872 [wandb_init.py:init():622] setting up manager
2023-11-02 23:27:53,607 INFO    MainThread:12872 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-02 23:27:53,610 INFO    MainThread:12872 [wandb_init.py:init():628] backend started and connected
2023-11-02 23:27:53,616 INFO    MainThread:12872 [wandb_init.py:init():720] updated telemetry
2023-11-02 23:27:53,666 INFO    MainThread:12872 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-11-02 23:27:53,670 INFO    MainThread:12872 [wandb_init.py:init():804] starting run threads in backend
2023-11-02 23:27:56,994 INFO    MainThread:12872 [wandb_run.py:_console_start():2199] atexit reg
2023-11-02 23:27:56,994 INFO    MainThread:12872 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-11-02 23:27:56,995 INFO    MainThread:12872 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-11-02 23:27:56,995 INFO    MainThread:12872 [wandb_run.py:_redirect():2144] Redirects installed.
2023-11-02 23:27:56,995 INFO    MainThread:12872 [wandb_init.py:init():845] run started, returning control to user process
